resourceId,resourceName,resourceType,observationText,observationType,observationPhase,observationTime,observationTimeUnits,doi
9f4e4596-0c7d-4d41-b9ff-73ecebd30263,2XSB,['Cell Line'],"The 2XSB cell line is derived from a sporadic MPNST with intact NF1 and expresses functional full-length neurofibromin protein, making it a valuable tool for studying the pathogenesis of neurofibromin-expressing sporadic MPNSTs.","['Cell line identity', 'Genetics']",,,,https://www.doi.org/10.1038/s41598-021-85055-2
9f4e4596-0c7d-4d41-b9ff-73ecebd30263,2XSB,['Cell Line'],"The 2XSB cell line contains two distinct karyotypes with 89 and 101 chromosomes respectively, exhibiting numerous structural abnormalities.","['Genomics', 'Karyotype']",,,,https://www.doi.org/10.1038/s41598-021-85055-2
9f4e4596-0c7d-4d41-b9ff-73ecebd30263,2XSB,['Cell Line'],"The 2XSB cell line contains a subpopulation of Sox2-positive cells, which may represent cancer stem-like cells or dedifferentiated Schwann cells.",['Cell subpopulation'],,,,https://www.doi.org/10.1038/s41598-021-85055-2
9f4e4596-0c7d-4d41-b9ff-73ecebd30263,2XSB,['Cell Line'],"The 2XSB cell line contains a subpopulation of multinucleated polyploid cells, which may have accumulated excessive genetic damage.","['Cell subpopulation', 'Genomics']",,,,https://www.doi.org/10.1038/s41598-021-85055-2
9f4e4596-0c7d-4d41-b9ff-73ecebd30263,2XSB,['Cell Line'],"The 2XSB cell line exhibits a C250T mutation in the TERT promoter, a common mutation found in cancers.",['Genomics'],,,,https://www.doi.org/10.1038/s41598-021-85055-2
9f4e4596-0c7d-4d41-b9ff-73ecebd30263,2XSB,['Cell Line'],"The 2XSB cell line was able to form xenograft tumors in immunodeficient NOD-Scid? mice, although the tumors grew slowly taking 11 weeks to reach 1 cm in diameter.","['In vivo growth', 'Xenograft']",,,,https://www.doi.org/10.1038/s41598-021-85055-2
9f4e4596-0c7d-4d41-b9ff-73ecebd30263,2XSB,['Cell Line'],"The 2XSB cell line exhibited a doubling time of around 28 hours in 2D monolayer cultures, which remained consistent even after extended passaging.","['Growth rate', 'Cell culture']",,,,https://www.doi.org/10.1038/s41598-021-85055-2
9f4e4596-0c7d-4d41-b9ff-73ecebd30263,2XSB,['Cell Line'],Live cell microscopy of the 2XSB cell line revealed highly mobile cells exhibiting both successful and abnormal cytokinesis events.,"['Cell behavior', 'Cell division']",,,,https://www.doi.org/10.1038/s41598-021-85055-2
9f4e4596-0c7d-4d41-b9ff-73ecebd30263,2XSB,['Cell Line'],The 2XSB cell line was found to maintain consistent morphological and immunohistochemical features even after extended passaging for over 80 passages.,"['Cell culture', 'Morphology']",,,,https://www.doi.org/10.1038/s41598-021-85055-2
9f4e4596-0c7d-4d41-b9ff-73ecebd30263,2XSB,['Cell Line'],"Short tandem repeat (STR) analysis confirmed that the 2XSB cell line has a distinct STR profile compared to other available sporadic MPNST cell lines like Hs-PSS11, Hs-Sch-211, and STS-26T, as well as NF1-associated MPNST cell lines.","['Cell line identity', 'Genomics']",,,,https://www.doi.org/10.1038/s41598-021-85055-2
