resourceId,resourceName,resourceType,observationText,observationType,observationPhase,observationTime,observationTimeUnits,doi
9ce4f191-b7ce-437d-8cef-f6de332040e0,MUG-Mel1,['Cell Line'],"The MUG-Mel1 cell line was established from a brain metastasis of a malignant melanoma patient and exhibited typical melanoma morphology with prominent S100 positive cells, but lacked expression of HMB45 and Melan A melanoma markers.","['Cell line origin', 'Morphology', 'Marker expression']",,,,https://doi.org/10.1038/s41598-019-40570-1
9ce4f191-b7ce-437d-8cef-f6de332040e0,MUG-Mel1,['Cell Line'],"The MUG-Mel1 cell line harbored an NF1 mutation (NM 001042492: c.A5233G, p.K1745E) and exhibited p53 deficiency, but did not have mutations in BRAF, NRAS or KIT genes.","['Genomics', 'Mutation status']",,,,https://doi.org/10.1038/s41598-019-40570-1
9ce4f191-b7ce-437d-8cef-f6de332040e0,MUG-Mel1,['Cell Line'],"The MUG-Mel1 cell line exhibited heterogeneity, with two distinct morphological subtypes - one with spindle-shaped cells and another with round and flat cells.","['Morphology', 'Heterogeneity']",,,,https://doi.org/10.1038/s41598-019-40570-1
9ce4f191-b7ce-437d-8cef-f6de332040e0,MUG-Mel1,['Cell Line'],"From the MUG-Mel1 cell line, two clonal sublines C8 and D5 were isolated that differed in morphology, with C8 being spindle-shaped and D5 being round and flat.","['Cell line derivation', 'Morphology']",,,,https://doi.org/10.1038/s41598-019-40570-1
9ce4f191-b7ce-437d-8cef-f6de332040e0,MUG-Mel1,['Cell Line'],"The MUG-Mel1 parental cell line grew faster than the C8 and D5 subclones, with a doubling time of 32.16 +/- 4.28 hours compared to 50.62 +/- 8.63 hours for C8 and 75.18 +/- 20.11 hours for D5.",['Growth rate'],,,,https://doi.org/10.1038/s41598-019-40570-1
9ce4f191-b7ce-437d-8cef-f6de332040e0,MUG-Mel1,['Cell Line'],"The D5 subclone exhibited migratory ability in a transwell migration assay, while the parental MUG-Mel1 and C8 subclone did not show migration potential.","['Migration', 'Invasion']",,,,https://doi.org/10.1038/s41598-019-40570-1
9ce4f191-b7ce-437d-8cef-f6de332040e0,MUG-Mel1,['Cell Line'],"The MUG-Mel1 parental line and C8 and D5 subclones were able to form colonies in a soft agar assay, indicating anchorage-independent growth potential.","['Tumorigenicity', 'Colony formation']",,,,https://doi.org/10.1038/s41598-019-40570-1
9ce4f191-b7ce-437d-8cef-f6de332040e0,MUG-Mel1,['Cell Line'],"Electron microscopy analysis of the MUG-Mel1 cell line revealed the presence of mitochondria, lipid droplets and melanosomes.",['Ultrastructure'],,,,https://doi.org/10.1038/s41598-019-40570-1
9ce4f191-b7ce-437d-8cef-f6de332040e0,MUG-Mel1,['Cell Line'],"The MUG-Mel1 cell line exhibited a high level of aneuploidy, which is a common feature of human cancers.","['Genomics', 'Aneuploidy']",,,,https://doi.org/10.1038/s41598-019-40570-1
9ce4f191-b7ce-437d-8cef-f6de332040e0,MUG-Mel1,['Cell Line'],"The MUG-Mel1 cell line was derived from a patient who had received alpha interferon therapy prior to the biopsy, so it was not treatment-naive.","['Cell line origin', 'Treatment history']",,,,https://doi.org/10.1038/s41598-019-40570-1
9ce4f191-b7ce-437d-8cef-f6de332040e0,MUG-Mel1,['Cell Line'],"The MUG-Mel1 cell line exhibited phenotypic heterogeneity, presenting a variety of cell morphologies including fusiform, round, flat/epithelial-like cells, with some having prominent nuclei and others with long protrusions.","['Morphology', 'Heterogeneity']",,,,https://doi.org/10.1038/s41598-019-40570-1
9ce4f191-b7ce-437d-8cef-f6de332040e0,MUG-Mel1,['Cell Line'],"Attempts to isolate single cell clones from early passages (4, 13, 14) of the MUG-Mel1 cell line did not result in any cell expansion.",['Cell line derivation'],,,,https://doi.org/10.1038/s41598-019-40570-1
9ce4f191-b7ce-437d-8cef-f6de332040e0,MUG-Mel1,['Cell Line'],"The MUG-Mel1 cell line, along with its clonal derivatives C8 and D5, were confirmed to originate from the same patient based on short tandem repeat (STR) profiling showing identical markers.","['Cell line identity', 'Genomics']",,,,https://doi.org/10.1038/s41598-019-40570-1
9ce4f191-b7ce-437d-8cef-f6de332040e0,MUG-Mel1,['Cell Line'],"The MUG-Mel1 cell line was found to be sensitive to the antitumor peptide R-DIM-P-LF11-322, exhibiting a LC50 value of 11.3 μM after 8 hours of treatment.",['Drug response'],,,,https://doi.org/10.1038/s41598-019-40570-1
9ce4f191-b7ce-437d-8cef-f6de332040e0,MUG-Mel1,['Cell Line'],"Xenotransplantation of the MUG-Mel1 cell line into nude mice, NOD-SCID mice and NSG mice, either under the skin or into the brain, did not result in any detectable tumor formation or metastases after 2 months.","['Tumorigenicity', 'In vivo growth']",,,,https://doi.org/10.1038/s41598-019-40570-1
